country,year,deaths,tourists ['000],wri_v,pop_density,gdp_pc
Andorra,2001,0,3516.0,4.32,139.79361,34113.848
Andorra,2002,0,3387.0,4.81,140.15744,36790.104
Andorra,2003,0,3138.0,4.89,141.54893,38084.52
Andorra,2004,0,2791.0,3.52,147.88724,39620.311
Andorra,2005,0,2418.0,3.55,158.17447,40054.289
Andorra,2006,0,2227.0,4.71,164.75745,40528.1
Andorra,2007,0,2189.0,4.35,169.38084,41322.025
Andorra,2008,0,2059.0,4.31,174.25745,40789.16
Andorra,2009,0,1830.0,2.99,177.68724,37775.09
Andorra,2010,0,1808.0,3.18,178.52553,35604.403
Andorra,2011,0,2242.0,3.19,171.75957,36277.258
Andorra,2012,0,2238.0,3.22,165.53404,37637.405
Andorra,2013,0,2328.0,3.25,163.52766,36206.986
Andorra,2014,0,2363.0,4.3,160.04256,35684.129
Andorra,2015,0,2663.0,3.96,156.92554,37300.545
Andorra,2016,0,2819.0,4.26,153.60638,38654.91
Andorra,2017,0,3003.0,4.05,153.61064,40084.982
Andorra,2018,0,3042.0,3.19,156.97873,39361.014
Andorra,2019,0,3090.0,3.09,159.95958,39242.144
Antigua and Barbuda,2001,0,215.0,15.78,170.29318,13498.31
Antigua and Barbuda,2002,0,218.0,14.45,172.91364,12868.395
Antigua and Barbuda,2003,0,239.0,15.81,175.11136,13079.089
Antigua and Barbuda,2004,0,246.0,12.57,177.03636,13701.016
Antigua and Barbuda,2005,0,245.0,10.33,178.9409,14272.305
Antigua and Barbuda,2006,0,254.0,9.01,180.97273,15230.741
Antigua and Barbuda,2007,0,262.0,7.17,183.225,16969.351
Antigua and Barbuda,2008,0,266.0,8.21,185.71819,18736.97
Antigua and Barbuda,2009,0,234.0,11.74,188.46819,19052.817
Antigua and Barbuda,2010,0,230.0,11.69,191.34773,16920.463
Antigua and Barbuda,2011,0,241.0,11.99,193.94772,15754.897
Antigua and Barbuda,2012,0,247.0,10.63,196.25,15633.125
Antigua and Barbuda,2013,0,243.0,13.18,198.35228,15988.54
